service_id;monday;tuesday;wednesday;thursday;friday;saturday;sunday;start_date;end_date
HIV23_JANV-HMercFEV-Mercredi-23;0;0;1;0;0;0;0;20230322;20230628
SMIN_H2223-Je230323-L-Ma-J-V-25;1;1;0;1;1;0;0;20230323;20230323
HIV23_JANV-SemFev23-L-Ma-J-V-01;1;1;0;1;1;0;0;20230324;20230630
HIV23_JANV-SemFev23-L-Ma-J-V-01-0100100;0;1;0;0;1;0;0;20230324;20230630
HIV2223-HSam2223-Samedi-20;0;0;0;0;0;1;0;20230325;20230701
HIV2223-HDim2223-Dimanche-40;0;0;0;0;0;0;1;20230326;20230702
HV2223_PVS-PVS_2223-Semaine-20;1;1;1;1;1;0;0;20230417;20230428
HV2223_PVS-PVS_2223-Semaine-20-0010000;0;0;1;0;0;0;0;20230417;20230428
HV2223_PVS-PVS_2223-Semaine-20-0100100;0;1;0;0;1;0;0;20230417;20230428
HV2223_PVS-PVS_2223-Semaine-20-1101100;1;1;0;1;1;0;0;20230417;20230428
HIV23_JANV-HSem2Jan-L-Ma-J-V-23;1;1;0;1;1;0;0;20230519;20230519
