service_id;date;exception_type
HIV23_JANV-HMercFEV-Mercredi-23;20230419;2
HIV23_JANV-HMercFEV-Mercredi-23;20230426;2
HIV23_JANV-SemFev23-L-Ma-J-V-01;20230407;2
HIV23_JANV-SemFev23-L-Ma-J-V-01-0100100;20230407;2
HIV23_JANV-SemFev23-L-Ma-J-V-01;20230410;2
HIV23_JANV-SemFev23-L-Ma-J-V-01-0100100;20230410;2
HIV23_JANV-SemFev23-L-Ma-J-V-01;20230417;2
HIV23_JANV-SemFev23-L-Ma-J-V-01-0100100;20230417;2
HIV23_JANV-SemFev23-L-Ma-J-V-01;20230418;2
HIV23_JANV-SemFev23-L-Ma-J-V-01-0100100;20230418;2
HIV23_JANV-SemFev23-L-Ma-J-V-01;20230420;2
HIV23_JANV-SemFev23-L-Ma-J-V-01-0100100;20230420;2
HIV23_JANV-SemFev23-L-Ma-J-V-01;20230421;2
HIV23_JANV-SemFev23-L-Ma-J-V-01-0100100;20230421;2
HIV23_JANV-SemFev23-L-Ma-J-V-01;20230424;2
HIV23_JANV-SemFev23-L-Ma-J-V-01-0100100;20230424;2
HIV23_JANV-SemFev23-L-Ma-J-V-01;20230425;2
HIV23_JANV-SemFev23-L-Ma-J-V-01-0100100;20230425;2
HIV23_JANV-SemFev23-L-Ma-J-V-01;20230427;2
HIV23_JANV-SemFev23-L-Ma-J-V-01-0100100;20230427;2
HIV23_JANV-SemFev23-L-Ma-J-V-01;20230428;2
HIV23_JANV-SemFev23-L-Ma-J-V-01-0100100;20230428;2
HIV23_JANV-SemFev23-L-Ma-J-V-01;20230501;2
HIV23_JANV-SemFev23-L-Ma-J-V-01-0100100;20230501;2
HIV23_JANV-SemFev23-L-Ma-J-V-01;20230508;2
HIV23_JANV-SemFev23-L-Ma-J-V-01-0100100;20230508;2
HIV23_JANV-SemFev23-L-Ma-J-V-01;20230518;2
HIV23_JANV-SemFev23-L-Ma-J-V-01-0100100;20230518;2
HIV23_JANV-SemFev23-L-Ma-J-V-01;20230519;2
HIV23_JANV-SemFev23-L-Ma-J-V-01-0100100;20230519;2
HIV23_JANV-SemFev23-L-Ma-J-V-01;20230529;2
HIV23_JANV-SemFev23-L-Ma-J-V-01-0100100;20230529;2
HIV2223-HDim2223-Dimanche-40;20230407;1
HIV2223-HDim2223-Dimanche-40;20230410;1
HIV2223-HDim2223-Dimanche-40;20230501;1
HIV2223-HDim2223-Dimanche-40;20230508;1
HIV2223-HDim2223-Dimanche-40;20230518;1
HIV2223-HDim2223-Dimanche-40;20230529;1
